Date,Time,Latitude,Longitude,Type,Depth,Depth Error,Depth Seismic Stations,Magnitude,Magnitude Type,Magnitude Error,Magnitude Seismic Stations,Azimuthal Gap,Horizontal Distance,Horizontal Error,Root Mean Square,ID,Source,Location Source,Magnitude Source,Status
02/19/2015,10:24:04,-53.4419,159.3522,Earthquake,10.0,1.7,,5.5,MWB,0.089,12.0,59.0,1.084,7.9,0.98,US10000DG7,US,US,US,Reviewed
03/01/2015,03:32:34,0.0241,124.4702,Earthquake,62.0,1.6,,5.6,MWB,0.048,42.0,18.0,2.001,5.9,1.03,USC000TU4Z,US,US,US,Reviewed
03/02/2015,02:50:48,-59.561,-150.6522,Earthquake,13.0,1.7,,5.5,MWB,0.08,15.0,70.0,30.578,15.0,0.97,USC000TUYV,US,US,US,Reviewed
03/15/2015,02:17:08,-22.2789,-176.3784,Earthquake,112.0,1.8,,5.5,MWB,0.046,46.0,40.0,6.828,9.6,0.76,US10001MGF,US,US,US,Reviewed
03/28/2015,19:16:33,-18.2822,176.7927,Earthquake,8.0,1.8,,5.5,MWB,0.061,26.0,63.0,1.312,6.8,0.78,US10001RK3,US,US,US,Reviewed
03/30/2015,00:15:31,-5.2049,152.6038,Earthquake,42.05,4.9,,5.7,MB,0.044,184.0,19.0,1.098,5.5,1.06,US10001RVZ,US,US,US,Reviewed
03/30/2015,10:34:53,-39.2859,78.0903,Earthquake,10.0,1.8,,5.9,MWB,0.08,15.0,24.0,1.542,9.4,0.91,US10001S0C,US,US,US,Reviewed
04/05/2015,20:51:40,-5.5476,152.7221,Earthquake,8.0,1.8,,5.5,MWB,0.045,48.0,73.0,1.457,7.5,0.97,US10001U5V,US,US,US,Reviewed
04/11/2015,05:00:42,2.1173,126.6945,Earthquake,50.0,1.8,,5.5,MWB,0.043,53.0,24.0,1.495,6.5,1.0,US200025T9,US,US,US,Reviewed
04/14/2015,08:13:55,-15.1965,-173.3499,Earthquake,8.0,1.7,,5.6,MWB,0.038,67.0,32.0,5.058,8.2,0.72,US200026CN,US,US,US,Reviewed
04/20/2015,09:05:34,-5.6841,102.4776,Earthquake,27.0,1.8,,5.7,MWB,0.039,63.0,24.0,1.398,6.4,1.25,US200027RC,US,US,US,Reviewed
04/25/2015,06:15:23,27.6285,85.5398,Earthquake,10.0,1.8,,6.1,MB,0.089,48.0,43.0,1.173,8.0,1.02,US20002BI4,US,US,US,Reviewed
04/25/2015,06:18:11,27.6857,86.0213,Earthquake,10.0,1.9,,5.6,MB,0.109,30.0,42.0,0.751,7.4,0.76,US20002BI0,US,US,US,Reviewed
04/25/2015,06:56:34,27.8822,85.7505,Earthquake,10.0,1.8,,5.5,MB,0.053,123.0,39.0,0.942,3.0,0.65,US20002934,US,US,US,Reviewed
04/25/2015,09:17:02,28.3902,87.3173,Earthquake,10.0,1.4,,5.7,MB,0.033,328.0,22.0,0.619,5.8,0.7,US2000294G,US,US,US,Reviewed
04/30/2015,10:19:08,-60.3933,-26.9077,Earthquake,10.0,1.7,,5.8,MWB,0.045,48.0,38.0,8.016,9.7,1.06,US20002AG2,US,US,US,Reviewed
05/01/2015,08:06:52,-5.4912,151.8715,Earthquake,35.0,1.9,,6.0,MB,0.108,32.0,71.0,1.323,10.4,0.98,US20002DHX,US,US,US,Reviewed
05/03/2015,22:35:08,-5.5228,151.8552,Earthquake,35.0,1.8,,5.5,MB,0.046,162.0,37.0,1.358,6.4,0.69,US20002B1X,US,US,US,Reviewed
05/04/2015,12:24:08,-61.4428,154.2683,Earthquake,14.0,1.7,,5.7,MWB,0.054,33.0,41.0,7.394,9.9,0.61,US20002B6B,US,US,US,Reviewed
05/05/2015,01:54:00,-5.3494,152.0278,Earthquake,35.0,1.9,,5.8,MB,0.042,201.0,19.0,1.158,3.8,0.62,US20002BNG,US,US,US,Reviewed
05/05/2015,01:58:17,-5.4716,152.1638,Earthquake,35.0,1.9,,5.6,MB,0.057,107.0,48.0,1.272,8.5,0.57,US20002BP4,US,US,US,Reviewed
05/12/2015,07:17:21,27.7141,86.2177,Earthquake,13.01,4.7,,5.5,MB,0.043,183.0,66.0,0.579,6.8,0.89,US20002EK0,US,US,US,Reviewed
05/17/2015,08:52:37,-12.0807,165.8102,Earthquake,9.0,1.6,,5.6,MWB,0.048,41.0,30.0,3.609,6.7,0.7,US100029XN,US,US,US,Reviewed
06/23/2015,08:59:56,-19.5686,-175.0399,Earthquake,138.0,1.8,,5.5,MWB,0.083,14.0,15.0,4.852,7.9,0.79,US10002L2M,US,US,US,Reviewed
06/23/2015,12:19:29,27.707,139.7745,Earthquake,462.13,7.6,,5.5,MB,0.076,60.0,81.0,5.39,9.8,1.23,US20002W0Y,US,US,US,Reviewed
06/23/2015,12:22:20,27.6475,140.0686,Earthquake,470.67,8.5,,5.6,MB,0.075,62.0,55.0,1.96,10.9,0.68,US20002W0X,US,US,US,Reviewed
06/27/2015,15:34:04,29.0402,34.6672,Earthquake,22.0,1.9,,5.5,MWB,0.049,40.0,57.0,2.386,8.2,0.76,US10002M3F,US,US,US,Reviewed
06/29/2015,22:07:49,36.6802,71.3004,Earthquake,191.0,1.8,,5.5,MWB,0.068,21.0,27.0,0.731,4.0,1.25,US10002MFT,US,US,US,Reviewed
07/12/2015,04:37:31,2.9918,128.1869,Earthquake,115.0,1.9,,5.5,MWB,0.063,24.0,37.0,2.352,7.3,0.98,US20002WVT,US,US,US,Reviewed
07/20/2015,11:08:19,-35.5251,-105.0838,Earthquake,14.0,1.7,,5.7,MWB,0.04,60.0,34.0,9.125,10.4,0.68,US20002YND,US,US,US,Reviewed
07/23/2015,03:56:53,-0.6942,-21.1776,Earthquake,8.55,2.0,,5.5,MWB,0.054,33.0,42.0,9.892,8.6,0.67,US20002ZFA,US,US,US,Reviewed
07/24/2015,21:44:39,-8.2477,108.9163,Earthquake,48.0,1.2,,5.5,MWB,0.06,27.0,17.0,1.625,5.6,1.33,US20002ZZG,US,US,US,Reviewed
07/26/2015,22:42:13,-18.024,-174.0685,Earthquake,7.3,2.9,,5.8,MWB,0.048,41.0,50.0,4.065,7.8,0.75,US2000308L,US,US,US,Reviewed
07/27/2015,04:51:23,52.7811,-169.5781,Earthquake,31.9,7.1,,5.9,MB,0.09,46.0,178.0,0.478,13.3,0.61,US100032BK,US,US,US,Reviewed
07/27/2015,04:55:46,52.208,-169.4223,Earthquake,27.84,4.4,,5.7,MB,0.037,263.0,120.0,0.608,5.2,1.04,US200030AR,US,US,US,Reviewed
07/27/2015,07:40:51,52.3581,-169.0816,Earthquake,35.0,1.9,,5.5,MB,0.033,329.0,59.0,0.63,6.9,0.98,US100032CA,US,US,US,Reviewed
07/27/2015,07:41:05,52.4977,-169.7473,Earthquake,35.0,1.9,,5.6,MB,0.065,82.0,88.0,0.721,7.5,1.28,US100032CB,US,US,US,Reviewed
07/27/2015,07:43:31,52.2564,-169.3455,Earthquake,39.58,4.7,,5.7,MB,0.027,483.0,64.0,0.579,4.8,0.77,US200030BX,US,US,US,Reviewed
